"School Name","BoroughCode","Geographical District","Project Description","Construction Award","Project type","Building ID","Building Address","City","Postcode","Borough","Latitude","Longitude","Community Board","Council District","BIN","BBL","Census Tract (2020)","Neighborhood Tabulation Area (NTA) (2020)","Location 1"
"P.S. 70 - BRONX","X","9","IPDVS INSTALLATIONS","331,321.7","CIP","X070","1691 WEEKS AVENUE","Bronx","10128","BRONX","40.844253","-73.907616","204","15","2007387","2027930028","22902","BX0403","(40.844253, -73.907616)"
"P.S. 124 - QUEENS","Q","27","HVAC CHILLER SYSTEM / FIRE ALARM SYSTEM REPLACEMENT / VENTILATION","7,440,000","CIP","Q124","129-15 150 AVENUE","Queens","10128","QUEENS","40.665058","-73.811701","410","28","4257530","4118820001","84602","QN1001","(40.665058, -73.811701)"
"I.S. 143 - MANHATTAN","M","6","WATER MAIN / BACKFLOW PREVENTION / LOW VOLTAGE ELECTRICAL SYSTEM / PUBLIC ADDRESS SYSTEM","2,380,000","CIP","M143","511 WEST 182 STREET","Manhattan","10128","MANHATTAN","40.848908","-73.930948","112","10","1063703","1021550035","269","MN1202","(40.848908, -73.930948)"
"PROFESSIONAL PATHWAYS HIGH SCHOOL","K","22","GYM BLEACHER REPLACEMENT / PATH OF TRAVEL GYM BLEACHER REPLACEMENT","645,000","CIP","K495","3000 AVENUE X","Brooklyn","10128","BROOKLYN","40.594124","-73.937696","315","46","3203631","3074250002","626","BK1503","(40.594124, -73.937696)"
"P.S. 21 - BROOKLYN","K","16","PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL","6,880,000","CIP","K021","180 CHAUNCEY STREET","Brooklyn","10128","BROOKLYN","40.680724","-73.926597","303","36","3047914","3016920017","381","BK0302","(40.680724, -73.926597)"
"HS FOR HEALTH CAREER & SCIENCE - M","M","6","WINDOWS / ROOFS / PARAPETS / EXTERIOR MASONRY","37,627,000","CIP","M465","549 AUDUBON AVENUE","Manhattan","10128","MANHATTAN","40.855855","-73.92712","112","10","1076751","1021600018","277","MN1202","(40.855855, -73.92712)"
"P.S. 202 - BROOKLYN","K","19","ROOFS / PARAPETS / EXTERIOR MASONRY / FLOOD ELIMINATION / WINDOWS","25,725,725","CIP","K202","982 HEGEMAN AVENUE","Brooklyn","10128","BROOKLYN","40.666417","-73.876563","305","42","3098664","3044770001","1116","BK0503","(40.666417, -73.876563)"
"P.S. 290 - MANHATTAN","M","2","RESO A ROOFTOP PLAYGROUND","8,582,499","CIP","M190","311 EAST 82 STREET","Manhattan","10128","MANHATTAN","40.775078","-73.953096","108","5","1049876","1015450005","138","MN0803","(40.775078, -73.953096)"
"M.S. 282 - QUEENS","Q","27","PAVED AREAS CONCRETE- SIDEWALKS & COURTYARD","2,555,000","CIP","Q465","8-21 BAY 25 STREET","Queens","10128","QUEENS","40.60201","-73.762795","414","31","4300730","4157360001","100804","QN1401","(40.60201, -73.762795)"
"P.S. 203 - QUEENS","Q","26","FY24 RESO A IPDVS CAMERA INSTALLATION / IPDVS INSTALLATIONS","297,555","CIP","Q203","53-11 SPRINGFIELD BOULEVARD","Queens","10128","QUEENS","40.754201","-73.760636","411","23","4161005","4074820317","138501","QN1102","(40.754201, -73.760636)"
"HS FOR HEALTH PROF & HUMAN SERV-M","M","2","RPZ BACKFLOW PREVENTION DEVICES / LOW-VOLTAGE ELECTRICAL SYSTEM","3,126,000","CIP","M475","345 EAST 15 STREET","Manhattan","10128","MANHATTAN","40.732447","-73.983031","106","2","1020419","1009220008","48","MN0602","(40.732447, -73.983031)"
"P.S. 399 - BROOKLYN","K","17","RTU REPLACEMENT / ROOFS / PARAPETS / WINDOWS / EXTERIOR MASONRY / STANDALONE DDC CONTROLS","8,174,000","CIP","K399","2707 ALBEMARLE ROAD","Brooklyn","10128","BROOKLYN","40.648044","-73.951891","317","40","3117396","3051110001","824","BK1701","(40.648044, -73.951891)"
"P.S. 15 - BRONX","X","10","IPDVS INSTALLATIONS / IPDVS INSTALLATIONS","495,995","CIP","X015","2195 ANDREWS AVENUE","Bronx","10128","BRONX","40.85881","-73.909746","207","14","2096013","2032240009","255","BX0701","(40.85881, -73.909746)"
"P.S. 116 - QUEENS","Q","29","Demo","4,645,600","CAP","Q116","107-25 WREN PLACE","Queens","11433","QUEENS","40.700606","-73.782302","412","27","4218416","4102500001","414","QN1202","(40.700606, -73.782302)"
"P.S. 139 - BROOKLYN","K","22","FY23 RESO A AUDITORIUM UPGRADE / PATH OF TRAVEL RESO A AUDITORIUM UPGRADE","648,000","CIP","K139","330 RUGBY ROAD","Brooklyn","10128","BROOKLYN","40.641937","-73.965523","314","40","3328235","3051440064","1522","BK1402","(40.641937, -73.965523)"
"I.S. 171 - BROOKLYN","K","19","LL 26-EXIT SIGNS","31,870","CIP","K171","528 RIDGEWOOD AVENUE","Brooklyn","10128","BROOKLYN","40.68618","-73.869625","305","37","3092456","3041340020","1184","BK0501","(40.68618, -73.869625)"
"P.S. 65 - BRONX","X","7","COVID VENTILATION","4,420,000","CIP","X065","677 EAST 141 STREET","Bronx","10128","BRONX","40.807335","-73.912731","201","8","2003834","2025710001","33","BX0101","(40.807335, -73.912731)"
"P.S. 6 - STATEN ISLAND","R","31","BMS REPLACEMENT / MECHANICAL UNIT REPLACEMENT","13,475,000","CIP","R006","555 PAGE AVENUE","Staten Island","10128","STATEN IS","40.510735","-74.231109","503","51","5131697","5077600001","24401","SI0305","(40.510735, -74.231109)"
"H.S. @ 13-20 124 STREET - QUEENS","Q","78","New","59,767,000","CAP","Q510","13-20 124 STREET","Queens","11356","QUEENS","40.786356","-73.843876","407","19","4096962","4039980001","947","QN0701","(40.786356, -73.843876)"
"P.S. 58 - BROOKLYN","K","15","FY20 RESO A  PATH OF TRAVEL PLAYGROUND UPGRADE / FY20 RESO A PLAYGROUND UPGRADE","842,111","CIP","K058","330 SMITH STREET","Brooklyn","10128","BROOKLYN","40.680415","-73.994754","306","39","3000000","3004490015","77","BK0601","(40.680415, -73.994754)"
"M.S./H.S. 342 - BRONX","X","10","FIRE SPRINKLER SYSTEM","959,485.25","CIP","X430","2780 RESERVOIR AVENUE","Bronx","10128","BRONX","40.870293","-73.898309","207","11","2015241","2032470070","409","BX0702","(40.870293, -73.898309)"
"P.S. 17 - QUEENS","Q","30","ROOFS / EXTERIOR MASONRY / PARAPETS / WINDOWS","11,821,000","CIP","Q017","28-37 29 STREET","Queens","10128","QUEENS","40.768985","-73.922428","401","22","4007663","4005940001","71","QN0103","(40.768985, -73.922428)"
"I.S. 518 - BROOKLYN","K","23","FY23 RESO A AUDITORIUM UPGRADE","894,951","CIP","K275","985 ROCKAWAY AVENUE","Brooklyn","10128","BROOKLYN","40.656068","-73.907245","316","42","3082940","3036360007","922","BK1602","(40.656068, -73.907245)"
"P.S. 110 - BRONX","X","9","FULL PROGRAM ACCESSIBILITY / FIRE ALARM / PARAPETS / EXTERIOR MASONRY","14,690,000","CIP","X110","580 CROTONA PARK SOUTH","Bronx","10128","BRONX","40.835286","-73.900751","203","15","2009718","2029320001","149","BX0301","(40.835286, -73.900751)"
"P.S. 129 - QUEENS","Q","25","EXTERIOR MASONRY / ROOFS / PARAPETS","9,358,000","CIP","Q129","128-05 9TH AVENUE","Queens","10128","QUEENS","40.789254","-73.839836","407","19","4616894","4039760001","945","QN0701","(40.789254, -73.839836)"
"P.S. 40 - QUEENS","Q","28","ROOF REPLACEMENT / WINDOWS","13,678,000","CIP","Q040","109-20 UNION HALL STREET","Queens","10128","QUEENS","40.694125","-73.790675","412","28","4263341","4121510001","260","QN1202","(40.694125, -73.790675)"
"I.S. 527 - BROOKLYN","K","13","ELECTRIFICATION/HEAT PUMP SYSTEMS / ELECTRICAL SERVICE UPGRADE / ROOFS / FIRE ALARM","25,464,000","CIP","K313","283 ADAMS STREET","Brooklyn","10128","BROOKLYN","40.694682","-73.988853","302","33","3331741","3001400010","11","BK0202","(40.694682, -73.988853)"
"P.S. 209 - BROOKLYN","K","21","TCU REMOVAL/PLAYGROUND REDEVELOPMENT","2,794,000","CIP","K209","2609 EAST 7TH STREET","Brooklyn","10128","BROOKLYN","40.586845","-73.96198","313","48","3196224","3072440001","370","BK1301","(40.586845, -73.96198)"
"I.S. 319 - MANHATTAN","M","6","COVID VENTILATION / LOW VOLTAGE ELECTRICAL SYSTEM / COVID CLIMATE CONTROL / EXTERIOR MASONRY / WINDOWS / PARAPETS / ROOFS / SITE WORK / REINFORCING SUPPORT ELEMENTS","33,211,000","CIP","M090","21 JUMEL PLACE","Manhattan","10128","MANHATTAN","40.839305","-73.936159","112","10","1076741","1021120058","249","MN1201","(40.839305, -73.936159)"
"I.S. 577 - BROOKLYN","K","14","CERTIFICATE OF OCCUPANCY / FIRE ALARM SYSTEM REPLACEMENT","17,518,000","CIP","K017","208 NORTH 5 STREET","Brooklyn","10128","BROOKLYN","40.715351","-73.956716","301","34","3062337","3023450001","519","BK0102","(40.715351, -73.956716)"
"P.S. 333 - QUEENS","Q","27","ROOFS / EXTERIOR MASONRY / PARAPETS","8,331,000","CIP","Q198","3-65 BEACH 56 STREET","Queens","10128","QUEENS","40.593967","-73.786182","414","31","4301929","4158940011","97204","QN1402","(40.593967, -73.786182)"
"P.S. 146 - BRONX","X","8","IPDVS INSTALLATIONS / IPDVS INSTALLATIONS","398,000","CIP","X146","968 CAULDWELL AVENUE","Bronx","10128","BRONX","40.825025","-73.906143","203","17","2004498","2026320027","18502","BX0301","(40.825025, -73.906143)"
"SCHOOL OF DIPLOMACY","X","11","AUDITORIUM UPGRADE / PATH OF TRAVEL AUDITORIUM UPGRADE","1,950,000","CIP","X113","3710 BARNES AVENUE","Bronx","10128","BRONX","40.880873","-73.860904","212","12","2058396","2046750020","390","BX1201","(40.880873, -73.860904)"
"FIORELLO LAGUARDIA HS - MANHATTAN","M","3","RPZ BACKFLOW PREVENTION DEVICES / FIRE SPRINKLER SYSTEM","1,997,798","CIP","M485","100 AMSTERDAM AVENUE","Manhattan","10128","MANHATTAN","40.773629","-73.985273","107","6","1030341","1011560030","15101","MN0701","(40.773629, -73.985273)"
"I.S. 71 - BROOKLYN","K","14","WATER INFILTRATION","1,499,000","CIP","K071","215 HEYWARD STREET","Brooklyn","10128","BROOKLYN","40.703624","-73.953146","301","33","3061064","3022270001","529","BK0103","(40.703624, -73.953146)"
"P.S. 9 - MANHATTAN","M","3","RPZ BACKFLOW PREVENTION DEVICES / PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL","6,717,000","CIP","M009","100 WEST 84 STREET","Manhattan","10128","MANHATTAN","40.785287","-73.97343","107","6","1032119","1012140029","169","MN0702","(40.785287, -73.97343)"
"COLLEGE POINT COLLABORATIVE - QUEENS","Q","25","FY22 RESO A PLAYGROUND UPGRADE / RESO A EXTERIOR DOOR","579,065","CIP","Q336","124-06 14TH AVENUE","Queens","10128","QUEENS","40.785327","-73.843749","407","19","4098406","4040890045","925","QN0701","(40.785327, -73.843749)"
"P.S. 140 - QUEENS","Q","28","IPDVS INSTALLATIONS","110,489.19","CIP","Q140","166-01 116 AVENUE","Queens","10128","QUEENS","40.686798","-73.781247","412","28","4267260","4123410031","278","QN1203","(40.686798, -73.781247)"
"P.S. 80 - QUEENS","Q","28","IPDVS INSTALLATIONS / IPDVS INSTALLATIONS","391,000","CIP","Q080","171-05 137 AVENUE","Queens","10128","QUEENS","40.67282","-73.769252","412","28","4270056","4124950166","33405","QN1204","(40.67282, -73.769252)"
"X352 SPED - BRONX","X","8","COVID VENTILATION","3,455,000","CIP","X075","984 FAILE STREET","Bronx","10128","BRONX","40.822719","-73.889435","202","17","2006079","2027470001","119","BX0202","(40.822719, -73.889435)"
"P.S. 754 SPED - BRONX","X","7","ROOFS / EXTERIOR MASONRY / PARAPETS","13,589,200","CIP","X155","470 JACKSON AVENUE","Bronx","10128","BRONX","40.811162","-73.909804","201","8","2003910","2025780027","35","BX0101","(40.811162, -73.909804)"
"P.S. 7 - QUEENS","Q","24","TCU REMOVAL/PLAYGROUND REDEVELOPMENT","2,765,000","CIP","Q007","80-55 CORNISH AVENUE","Queens","10128","QUEENS","40.739115","-73.882487","404","25","4467710","4015380075","485","QN0401","(40.739115, -73.882487)"
"P.S. 49 - QUEENS","Q","24","FLOOD ELIMINATION / PARAPETS / ROOFS / EXTERIOR MASONRY","6,978,000","CIP","Q049","63-60 80TH STREET","Queens","10128","QUEENS","40.719867","-73.875093","405","30","4069253","4029900045","66301","QN0504","(40.719867, -73.875093)"
"P.S. 60 - STATEN ISLAND","R","31","LSP REPLACE UNIVENTS","355,900","CIP","R060","55 MERRILL AVENUE","Staten Island","10128","STATEN IS","40.610073","-74.162129","502","50","5031151","5015800044","29104","SI0204","(40.610073, -74.162129)"
"LONG ISLAND CITY HS - Q","Q","30","CULINARY ARTS ROOM","2,180,000","CIP","Q452","14-30 BROADWAY","Queens","10128","QUEENS","40.765826","-73.9328","401","22","4467709","4005290002","45","QN0105","(40.765826, -73.9328)"
"P.S. 118 - QUEENS","Q","29","FLOOD ELIMINATION / ROOFS / PARAPETS / EXTERIOR MASONRY","15,600,000","CIP","Q118","190-20 109 ROAD","Queens","10128","QUEENS","40.703585","-73.765838","412","27","4233850","4109260050","504","QN1205","(40.703585, -73.765838)"
"QUEENS SATELLITE HS FOR OPPORTUNITY - Q","Q","28","TCU REMOVAL AND PLAYGROUND REDEVELOPMENT / ROOFS / PARAPETS / EXTERIOR MASONRY / WINDOWS / FLOOD ELIMINATION","14,570,000","CIP","Q595","162-02 HILLSIDE AVENUE","Queens","10128","QUEENS","40.70848","-73.800065","412","24","4209031","4097680022","44602","QN1201","(40.70848, -73.800065)"
"HARLEM RENAISSANCE HS - M","M","5","FLOOD ELIMINATION / ROOFS / PARAPETS / EXTERIOR MASONRY","7,578,786","CIP","M911","22 EAST 128 STREET","Manhattan","10128","MANHATTAN","40.807987","-73.940061","111","9","1054159","1017520059","206","MN1102","(40.807987, -73.940061)"
"P.S. 199 - BRONX","X","9","FULL PROGRAM ACCESSIBILITY / ROOFS / PARAPETS / EXTERIOR MASONRY / WINDOWS","21,898,000","CIP","X104","1449 SHAKESPEARE AVENUE","Bronx","10128","BRONX","40.842943","-73.920563","204","16","2088263","2028730027","21302","BX0403","(40.842943, -73.920563)"
"CONEY ISLAND #1 HEAD START","K","21","ACS EARLY LEARN LEASE IMPROVEMENT / PATH OF TRAVEL","1,835,354","CIP","KBUH","2960 WEST 27 STREET","Brooklyn","10128","BROOKLYN","40.573588","-73.992855","313","47","3339183","3070520034","342","BK1302","(40.573588, -73.992855)"
"BROOKLYN TECH HS - K","K","13","LOW VOLTAGE ELECTRICAL SYSTEM / KITCHEN FIRE SUPRESSION SYSTEM","4,291,000","CIP","K430","29 FT GREENE PLACE","Brooklyn","10128","BROOKLYN","40.688834","-73.976905","302","35","3058752","3020980013","33","BK0203","(40.688834, -73.976905)"
"P.S. 262 - BROOKLYN","K","16","FY23 RESO A PLAYGROUND UPGRADE / PATH OF TRAVEL RESO A PLAYGROUND UPGRADE","1,350,000","CIP","K262","500 MACON STREET","Brooklyn","10128","BROOKLYN","40.683241","-73.930813","303","36","3046876","3016710019","297","BK0302","(40.683241, -73.930813)"
"P.S. 79 - QUEENS","Q","25","PLANYC CLIMATE CONTROL / PLANYC BOILER CONVERSION","7,872,000","CIP","Q079","147-27 15 DRIVE","Queens","10128","QUEENS","40.785909","-73.818058","407","19","4105232","4046470001","1039","QN0702","(40.785909, -73.818058)"
"P.S. 30 - STATEN ISLAND","R","31","FIRE ALARM SYSTEM","505,000","CIP","R030","200 WARDWELL AVENUE","Staten Island","10128","STATEN IS","40.618439","-74.132645","501","50","5113069","5004230009","201","SI0105","(40.618439, -74.132645)"
"M.S. 137 - QUEENS","Q","27","LSP DOMESTIC WATER HEATER REPLACEMENT","165,074.9","CIP","Q137","109-15 98TH STREET","Queens","10128","QUEENS","40.6781","-73.839948","410","32","4467457","4091720001","86","QN1002","(40.6781, -73.839948)"
"HILLSIDE ACADEMY FOR ARTS AND LETTERS - Q","Q","28","LSP DOMESTIC WATER HEATER","12,107.82","CIP","Q470","167-01 GOTHIC DRIVE","Queens","10128","QUEENS","40.713218","-73.797237","408","24","4448806","4098580100","452","QN0805","(40.713218, -73.797237)"
"P.S. 140 - BRONX","X","8","OTHER TEMP STRUCTURE REMOVAL/PLAYGROUND REDEVELOPMENT / PATH OF TRAVEL-OTHER TEMP STRUCTURE REMOVAL/PLAYGROUND REDEVELOPMENT","2,876,000","CIP","X140","916 EAGLE AVENUE","Bronx","10128","BRONX","40.823289","-73.907948","203","17","2004469","2026270009","18502","BX0301","(40.823289, -73.907948)"
"K036 SPED - BROOKLYN","K","19","ELEVATOR MODERNIZATION / FIRE ALARM SYSTEM REPLACEMENT / ELECTRICAL SYSTEMS","3,540,600","CIP","K857","2045 LINDEN BOULEVARD","Brooklyn","10128","BROOKLYN","40.660134","-73.887023","305","42","3097429","3043270024","1104","BK0503","(40.660134, -73.887023)"
"I.S. 227 - QUEENS","Q","30","PA SYSTEM REPLACEMENT","1,380,000","CIP","Q227","32-02 JUNCTION BOULEVARD","Queens","10128","QUEENS","40.758408","-73.874472","403","21","4034891","4014230001","353","QN0302","(40.758408, -73.874472)"
"I.S. 162 - BROOKLYN","K","32","LL 26-EXIT SIGNS","55,103","CIP","K162","1390 WILLOUGHBY AVENUE","Brooklyn","10128","BROOKLYN","40.707229","-73.919805","304","34","3073018","3032120001","445","BK0401","(40.707229, -73.919805)"
"P.S. 181 - QUEENS","Q","29","FY24 RESO A GYMNASIUM UPGRADE / PATH OF TRAVEL RESO A GYMNASIUM UPGRADE","463,925","CIP","Q181","148-15 230 STREET","Queens","10128","QUEENS","40.656126","-73.753207","413","31","4291453","4137180001","694","QN1306","(40.656126, -73.753207)"
"P.S. 143 - QUEENS","Q","24","ELECTRICAL WORK FOR A/C INITIATIVE","66,467.99","CIP","Q908","98-07 38TH AVENUE","Queens","10128","QUEENS","40.750246","-73.867825","403","21","4043936","4017610035","40902","QN0303","(40.750246, -73.867825)"
"P.S. 185 - MANHATTAN","M","3","IPDVS FULL CAMERA UPGRADE / IPDVS FULL CAMERA UPGRADE / IPDVS INSTALLATION","539,000","CIP","M185","20 WEST 112 STREET","Manhattan","10128","MANHATTAN","40.798511","-73.949251","110","9","1051410","1015950015","186","MN1001","(40.798511, -73.949251)"
"PRE-K CENTER @ 412 63 STREET - BROOKLYN","K","20","Lease","8,770,000","CAP","K668","412 63 STREET","Brooklyn","11220","BROOKLYN","40.638773","-74.019612","307","38","3429067","3058097501","122","BK0703","(40.638773, -74.019612)"
"P.S. 198 - BROOKLYN","K","22","FY24 RESO A (MA) CAFETERIA UPGRADE / PATH OF TRAVEL RESO A (MA) CAFETERIA UPGRADE","701,000.5","CIP","K198","4105 FARRAGUT ROAD","Brooklyn","10128","BROOKLYN","40.63694","-73.937339","317","45","3113388","3049880066","836","BK1702","(40.63694, -73.937339)"
"P.S. 184 - MANHATTAN","M","1","IPDVS INSTALLATIONS / IPDVS INSTALLATIONS / IPDVS INSTALLATIONS","675,000","CIP","M137","327 CHERRY STREET","Manhattan","10128","MANHATTAN","40.711549","-73.986542","103","1","1003143","1002450007","201","MN0301","(40.711549, -73.986542)"
"I.S. @ 2169 BLACKROCK AVENUE - BRONX","X","84","Lease","0","CAP","X521","2169 BLACKROCK AVENUE","Bronx","10472","BRONX","40.828912","-73.851484","209","18","2026397","2038080038","78","BX0903","(40.828912, -73.851484)"
"M079 SPED - MANHATTAN","M","5","IPDVS INSTALLATIONS","385,048.3","CIP","M079","55 EAST 120 STREET","Manhattan","10128","MANHATTAN","40.802419","-73.942634","111","9","1053968","1017470001","198","MN1102","(40.802419, -73.942634)"
"P.S. 178 - BROOKLYN","K","23","FLOOD ELIMINATION / PARAPETS / EXTERIOR MASONRY","9,597,000","CIP","K178","2163 DEAN STREET","Brooklyn","10128","BROOKLYN","40.675024","-73.915778","316","41","3038718","3014400056","303","BK1601","(40.675024, -73.915778)"
"P.S. 150 - QUEENS","Q","30","LSP DOMESTIC WATER HEATER","222,200","CIP","Q150","40-01 43 AVENUE","Queens","10128","QUEENS","40.745537","-73.923776","402","26","4002387","4001850001","18101","QN0202","(40.745537, -73.923776)"
"K373 SPED - BROOKLYN","K","14","FULL PROGRAM ACCESSIBILITY / FIRE ALARM SYSTEM REPLACEMENT","15,049,000","CIP","K148","185 ELLERY STREET","Brooklyn","10128","BROOKLYN","40.698869","-73.945042","303","36","3048352","3017260014","257","BK0301","(40.698869, -73.945042)"
"SOUNDVIEW ACADEMY FOR CULTURE AND SCHOLARSHIP - X","X","8","FY23 RESO A SCIENCE LAB UPGRADE / PATH OF TRAVEL RESO A SCIENCE LAB UPGRADE / FY23 RESO A AUDITORIUM UPGRADE","1,776,000","CIP","X131","885 BOLTON AVENUE","Bronx","10128","BRONX","40.82346","-73.859647","209","18","2103869","2036440001","42","BX0902","(40.82346, -73.859647)"
"P.S. 173 - QUEENS","Q","26","ROOFS / PARAPETS / EXTERIOR MASONRY","6,324,000","CIP","Q173","174-10 67TH AVENUE","Queens","10128","QUEENS","40.734572","-73.795484","408","24","4149690","4069270022","1223","QN0803","(40.734572, -73.795484)"
"P.S. 4 - BRONX","X","9","RNWL SBHC / RNWL SBHC- ELECTRICAL UPGRADE / STH SBHC- MENTAL HEALTH SUITE","6,248,000","CIP","X004","1701 FULTON AVENUE","Bronx","10128","BRONX","40.840891","-73.898166","203","15","2009659","2029300001","165","BX0302","(40.840891, -73.898166)"
"THE HIGH SCHOOL FOR LANGUAGE AND DIPLOMACY","M","2","COVID VENTILATION / COVID CLIMATE CONTROL / COVID LOW VOLTAGE ELECTRICAL SYSTEM","19,820,000","CIP","M460","40 IRVING PLACE","Manhattan","10128","MANHATTAN","40.735494","-73.987659","106","2","1017828","1008720057","50","MN0602","(40.735494, -73.987659)"
"P.S. 55 - QUEENS","Q","28","IPDVS INSTALLATIONS / IPDVS INSTALLATIONS","290,000","CIP","Q055","131-10 97 AVENUE","Queens","10128","QUEENS","40.694004","-73.816617","409","29","4200233","4094770001","154","QN0903","(40.694004, -73.816617)"
"I.S. 117 - BRONX","X","9","PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL","7,414,000","CIP","X117","1865 MORRIS AVENUE","Bronx","10128","BRONX","40.848547","-73.908416","205","14","2007902","2028270001","23301","BX0502","(40.848547, -73.908416)"
"P.S. 95 - BROOKLYN","K","21","PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL / ELECTRICAL SYSTEMS / LOW VOLTAGE ELECTRICAL SYSTEM","10,820,000","CIP","K095","345 VAN SICKLEN STREET","Brooklyn","10128","BROOKLYN","40.595698","-73.97518","315","44","3192661","3071230066","398","BK1501","(40.595698, -73.97518)"
"P.S. 8 - MANHATTAN","M","6","LSP HOT WATER HEATER REPLACEMENT","249,000","CIP","M008","465 W 167 STREET","Manhattan","10128","MANHATTAN","40.838954","-73.936838","112","10","1081842","1021120001","249","MN1201","(40.838954, -73.936838)"
"P.S. 20 - QUEENS","Q","25","LSP DOMESTIC WATER HEATER REPLACEMENT","164,772.82","CIP","Q020","142-30 BARCLAY AVENUE","Queens","10128","QUEENS","40.758689","-73.824832","407","20","4114657","4050470001","855","QN0707","(40.758689, -73.824832)"
"P.S. 375 - BROOKLYN","K","17","ROOFS / PARAPETS / EXTERIOR MASONRY","11,975,025","CIP","K320","46 MCKEEVER PLACE","Brooklyn","10128","BROOKLYN","40.665021","-73.959034","309","35","3034356","3013010001","325","BK0901","(40.665021, -73.959034)"
"I.S. 221 - BRONX","X","7","PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL / LOW-VOLTAGE ELECTRICAL","7,564,000","CIP","X149","360 EAST 145 STREET","Bronx","10128","BRONX","40.813785","-73.92032","201","8","2097038","2023060054","43","BX0101","(40.813785, -73.92032)"
"P.S. 42 - QUEENS","Q","27","SANDY- INTERIOR SPACES / SANDY - HEATING PLANT / SANDY- FLOOD ELIMINATION / NON SANDY CLIMATE CONTROL / SANDY- SANITARY / STORM PIPING / SANDY- HVAC / ELECTRICAL LIGHTING FIXTURES / SANDY- ELECTRICAL SYSTEMS","15,125,767","CIP","Q042","488 BEACH 66 STREET","Queens","10128","QUEENS","40.594538","-73.795304","414","31","4302817","4160390014","964","QN1402","(40.594538, -73.795304)"
"P.S. 119 - BROOKLYN","K","22","IPDVS INSTALLATIONS / IPDVS INSTALLATIONS","325,000","CIP","K119","3829 AVENUE K","Brooklyn","10128","BROOKLYN","40.625662","-73.938265","318","45","3215816","3077860001","734","BK1801","(40.625662, -73.938265)"
"P.S. 262 - BROOKLYN","K","16","PLANYC CLIMATE CONTROL / PLANYC BOILER CONVERSION / LOW-VOLTAGE ELECTRICAL SYSTEM","8,928,000","CIP","K262","500 MACON STREET","Brooklyn","10128","BROOKLYN","40.683241","-73.930813","303","36","3046876","3016710019","297","BK0302","(40.683241, -73.930813)"
"P.S. 334 - MANHATTAN","M","3","ROOFS / PARAPETS / EXTERIOR MASONRY / WINDOWS","19,200,000","CIP","M044","100 WEST 77 STREET","Manhattan","10128","MANHATTAN","40.780822","-73.976855","107","6","1030178","1011480014","161","MN0702","(40.780822, -73.976855)"
"P.S. 83 - BRONX","X","11","ROOFS / MECHANICAL EQUIPMENT REPLACEMENT / EXTERIOR MASONRY / PARAPETS / ROOFS","21,441,000","CIP","X981","1840 BOGART AVENUE","Bronx","10128","BRONX","40.848222","-73.858554","211","13","2117664","2041250015","244","BX1102","(40.848222, -73.858554)"
"K368 SPED - BROOKLYN","K","14","FY22 RESO A GYMNASIUM UPGRADE","372,000","CIP","K033","70 TOMPKINS AVENUE","Brooklyn","10128","BROOKLYN","40.697152","-73.946641","303","36","3048517","3017430018","257","BK0301","(40.697152, -73.946641)"
"I.S. 119 - QUEENS","Q","24","LSP REPLACEMENT OF GAS FIRED WATER HEATER","89,300","CIP","Q119","74-01 78 AVENUE","Queens","10128","QUEENS","40.704406","-73.875183","405","32","4092660","4038120020","63301","QN0503","(40.704406, -73.875183)"
"P.S. 52 - STATEN ISLAND","R","31","ROOFS / EXTERIOR MASONRY / PARAPETS / PAVED AREA- BLACKTOP","6,244,000","CIP","R052","450 BUEL AVENUE","Staten Island","10128","STATEN IS","40.582744","-74.088509","502","50","5053746","5037050001","11201","SI0202","(40.582744, -74.088509)"
"P.S. 204 - BROOKLYN","K","20","IPDVS INSTALLATIONS / IPDVS INSTALLATIONS","379,950","CIP","K204","8101 15 AVENUE","Brooklyn","10128","BROOKLYN","40.614159","-74.006638","311","38","3163702","3062940001","184","BK1101","(40.614159, -74.006638)"
"P.S. 95 - QUEENS","Q","29","LSP DOMESTIC WATER HEATER","171,058.92","CIP","Q095","179-01 90 AVENUE","Queens","10128","QUEENS","40.710624","-73.783423","412","23","4446042","4099140001","468","QN1201","(40.710624, -73.783423)"
"CHANNEL VIEW SCL FOR RESEARCH - Q","Q","27","EXTERIOR MASONRY / FLOOD ELIMINATION","3,996,786","CIP","Q410","100-00 BEACH CHANNEL DRIVE","Queens","10128","QUEENS","40.586066","-73.822624","414","32","4303773","4161670099","94201","QN1402","(40.586066, -73.822624)"
"THE URBAN ASSEMBLY BRONX ACADEMY OF LETTERS","X","7","WALK-IN REFRIGERATORS AND FREEZERS","595,000","CIP","X183","339 MORRIS AVENUE","Bronx","10128","BRONX","40.813641","-73.925313","201","8","2000957","2023330070","51","BX0101","(40.813641, -73.925313)"
"NEWTOWN HS - QUEENS","Q","24","LSP HOT WATER HEATER REPLACEMENT","231,070.86","CIP","Q455","48-01 90 STREET","Queens","10128","QUEENS","40.741122","-73.874721","404","25","4045629","4018490001","461","QN0401","(40.741122, -73.874721)"
