building_id,school_name,building_address,city,borough,borough_code,geographical_district,latitude,longitude
X156,"LEADERS OF EXCELLENCE, ADVOCACY AND DISCOVER",750 CONCOURSE VILLAGE WEST,Bronx,BRONX,X,7,40.823174,-73.923326
Q030,P.S. 354 - QUEENS,126-10 BEDELL STREET,Queens,QUEENS,Q,28,40.68031,-73.774432
X062,P.S. 62 - BRONX,660 FOX STREET,Bronx,BRONX,X,8,40.814031,-73.900609
M134,P.S. 134 - MANHATTAN,293 EAST BROADWAY,Manhattan,MANHATTAN,M,1,40.71457,-73.983724
Q051,P.S. 51 - QUEENS,87-45 117TH STREET,Queens,QUEENS,Q,27,40.699015,-73.832356
R061,I.S. 61 - STATEN ISLAND,445 CASTLETON AVENUE,Staten Island,STATEN IS,R,31,40.634009,-74.097826
M052,J.H.S. 52 - MANHATTAN,650 ACADEMY STREET,Manhattan,MANHATTAN,M,6,40.866053,-73.924835
X118,I.S. 118 - BRONX,577 EAST 179 STREET,Bronx,BRONX,X,10,40.848339,-73.89308
M107,THE HERITAGE SCHOOL - MANHATTAN,1680 LEXINGTON AVENUE,Manhattan,MANHATTAN,M,4,40.791881,-73.946558
K086,P.S. 86 - BROOKLYN,220 IRVING AVENUE,Brooklyn,BROOKLYN,K,32,40.700774,-73.91748
Q172,J.H.S. 172 - QUEENS,81-14 257 STREET,Queens,QUEENS,Q,26,40.741944,-73.712965
KBOR,SAINT JOHN'S DAY CARE CENTER,813 STERLING PLACE,Brooklyn,BROOKLYN,K,17,40.672613,-73.95161
Q151,P.S. 151 - QUEENS,50-05 31 AVENUE,Queens,QUEENS,Q,30,40.757499,-73.908898
K147,P.S. 147 - BROOKLYN,325 BUSHWICK AVENUE,Brooklyn,BROOKLYN,K,14,40.705204,-73.939407
X036,P.S. 36 - BRONX,1070 CASTLE HILL AVENUE,Bronx,BRONX,X,8,40.829344,-73.850428
K239,I.S. 239 - BROOKLYN,2401 NEPTUNE AVENUE,Brooklyn,BROOKLYN,K,21,40.578188,-73.99203
R004,P.S. 4 - STATEN ISLAND,200 NEDRA LANE,Staten Island,STATEN IS,R,31,40.552975,-74.194597
K057,WHITELAW REID ACADEMY OF ARTS AND BUSINESS - BROOK,125 STUYVESANT AVENUE,Brooklyn,BROOKLYN,K,16,40.691274,-73.933697
Q038,P.S. 38 - QUEENS,135-21 241 STREET,Queens,QUEENS,Q,29,40.671561,-73.734043
K018,P.S. 18 - BROOKLYN,101 MAUJER STREET,Brooklyn,BROOKLYN,K,14,40.710609,-73.946977
K302,LIBERTY AVENUE MIDDLE SCHOOL,350 LINWOOD STREET,Brooklyn,BROOKLYN,K,19,40.677104,-73.883433
K312,P.S. 312 - BROOKLYN,7103 AVENUE T,Brooklyn,BROOKLYN,K,22,40.621413,-73.908987
Q200,P.S. 200 - QUEENS,70-10 164 STREET,Queens,QUEENS,Q,25,40.731369,-73.805116
X426,HS OF COMPUTERS & TECHNOLOGY - X,774 EAST GUN HILL ROAD,Bronx,BRONX,X,11,40.876341,-73.863195
R440,STATEN ISLAND TECHNICAL HS - R,485 CLAWSON STREET,Staten Island,STATEN IS,R,31,40.567873,-74.115373
Q405,BAYSIDE HIGH SCHOOL - QUEENS,32-24 CORPORAL KENNEDY STREET,Queens,QUEENS,Q,26,40.771755,-73.780296
K210,I.S. 394 - BROOKLYN,188 ROCHESTER AVENUE,Brooklyn,BROOKLYN,K,17,40.672762,-73.927973
M019,P.S. 19 - MANHATTAN,185 1 AVENUE,Manhattan,MANHATTAN,M,1,40.729636,-73.983818
Q008,J.H.S. 8 - QUEENS,108-35 167 STREET,Queens,QUEENS,Q,28,40.69719,-73.787192
X886,GIRLS PREPARATORY CHARTER SCHOOL OF THE BRONX II,124 EAMES PLACE,Bronx,BRONX,X,10,40.869296,-73.901525
K131,P.S. 131 - BROOKLYN,4305 FORT HAMILTON PARKWAY,Brooklyn,BROOKLYN,K,15,40.641157,-73.993482
R436,NEW DORP HS - STATEN ISLAND,465 NEW DORP LANE,Staten Island,STATEN IS,R,31,40.569393,-74.107737
X074,I.S. 424 - BRONX,730 BRYANT AVENUE,Bronx,BRONX,X,8,40.815455,-73.88577
Q215,P.S. 362 - QUEENS,535 BRIAR PLACE,Queens,QUEENS,Q,27,40.5993,-73.758206
K411,ABRAHAM LINCOLN HS - BROOKLYN,2800 OCEAN PARKWAY,Brooklyn,BROOKLYN,K,21,40.581681,-73.967308
M871,NEW YORK HARBOR SCHOOL - MANHATTAN,134 CARDER ROAD,Manhattan,MANHATTAN,M,2,40.692055,-74.01358
K261,P.S. 261 - BROOKLYN,314 PACIFIC STREET,Brooklyn,BROOKLYN,K,15,40.687466,-73.988288
Q169,I.S. 294 - QUEENS,18-25 212 STREET,Queens,QUEENS,Q,25,40.782248,-73.779063
M152,P.S. 152 - MANHATTAN,93 NAGLE AVENUE,Manhattan,MANHATTAN,M,6,40.860412,-73.927936
K660,WILLIAM MAXWELL VOC HS - K,145 PENNSYLVANIA AVENUE,Brooklyn,BROOKLYN,K,19,40.674135,-73.89643
Q125,I.S. 125 - QUEENS,46-02 47 AVENUE,Queens,QUEENS,Q,24,40.741131,-73.918945
K515,BROOKLYN COMMUNITY HIGH SCHOOL FOR EXCELLENCE AND,6565 FLATLANDS AVENUE,Brooklyn,BROOKLYN,K,18,40.633285,-73.916735
K263,P.S./I.S. 323 - BROOKLYN,210 CHESTER STREET,Brooklyn,BROOKLYN,K,23,40.666545,-73.910904
K206,P.S. 206 - BROOKLYN,2200 GRAVESEND NECK ROAD,Brooklyn,BROOKLYN,K,22,40.597369,-73.948946
X112,P.S. 112 - BRONX,1925 SCHIEFFELIN AVENUE,Bronx,BRONX,X,11,40.885008,-73.843193
Q062,P.S. 62 - QUEENS,97-25 108 STREET,Queens,QUEENS,Q,27,40.688577,-73.836162
M488,P.S. 59 - MANHATTAN,231-249 EAST 56 STREET,Manhattan,MANHATTAN,M,2,40.759249,-73.967221
K038,P.S. 38 - BROOKLYN,450 PACIFIC STREET,Brooklyn,BROOKLYN,K,15,40.685264,-73.982639
Q234,P.S. 234 - QUEENS,30-15 29TH STREET,Queens,QUEENS,Q,30,40.767305,-73.923246
X460,"BRONX SCHOOL FOR LAW, GOVERNMENT AND JUSTICE",244 EAST 163 STREET,Bronx,BRONX,X,9,40.827607,-73.918681
Q512,P.S. @ 137-23 45 AVENUE - QUEENS,137-23 45 AVENUE,Queens,QUEENS,Q,25,40.751198,-73.822473
Q247,P.S. 128 - QUEENS,69-10 65TH DRIVE,Queens,QUEENS,Q,24,40.715344,-73.886215
Q022,P.S. 22 - QUEENS,153-33 SANFORD AVENUE,Queens,QUEENS,Q,25,40.761249,-73.811808
Q431,FRANCIS LEWIS HS - QUEENS,58-20 UTOPIA PARKWAY,Queens,QUEENS,Q,26,40.740724,-73.79283
M470,INNOVATION DIPLOMA PLUS,145 WEST 84 STREET,Manhattan,MANHATTAN,M,3,40.785803,-73.974614
Q146,P.S. 146 - QUEENS,98-01 159 AVENUE,Queens,QUEENS,Q,27,40.659873,-73.835068
K169,P.S. 169 - BROOKLYN,4305 7 AVENUE,Brooklyn,BROOKLYN,K,15,40.64629,-74.001903
Q292,P.S. 92 - QUEENS,99-01 34TH AVENUE,Queens,QUEENS,Q,30,40.755418,-73.869017
K234,I.S. 234 - BROOKLYN,1875 EAST 17 STREET,Brooklyn,BROOKLYN,K,22,40.60422,-73.955485
K100,P.S. 100 - BROOKLYN,2951 WEST 3 STREET,Brooklyn,BROOKLYN,K,21,40.57732,-73.971313
R043,G MCCOWN EXPEDITIONARY LRNG SCL- R,100 ESSEX DRIVE,Staten Island,STATEN IS,R,31,40.581315,-74.158589
Q184,P.S. 184 - QUEENS,163-15 21 ROAD,Queens,QUEENS,Q,25,40.778095,-73.800163
