project_id,building_id,project_description,construction_award,project_type
192,X129,PLAYGROUND UPGRADE / TCU REMOVAL/PLAYGROUND REDEVELOPMENT / PATH OF TRAVEL PLAYGROUND REDEVELOPMENT,3656919,CIP
193,M660,FY24 RESO A LOCKER ROOM UPGRADE / PATH OF TRAVEL RESO A LOCKER ROOM UPGRADE,439154,CIP
194,K137,FULL PROGRAM ACCESSIBILITY / FIRE ALARM REPLACEMENT,19137000,CIP
195,R456,NEW FIELDHOUSE BUILDING,24349500,CIP
196,M155,ELECTRIFICATION/HEAT PUMP SYSTEMS / WINDOWS / ROOFS / ELECTRICAL UPGRADE,27318000,CIP
197,K056,FY18 RESO A COURTYARD GREENHOUSE,3472000,CIP
198,K138,FIRE SPRINKLER,7216,CIP
199,Q262,DCAS ELECTRIFICATION/HEAT PUMP SYSTEMS / DCAS ROOFS / DCAS FIRE ALARM PANEL,12304000,CIP
200,M192,IPDVS CAMERA INSTALLATION / IPDVS CAMERA INSTALLATION / IPDVS CAMERA INSTALLATION,14760,CIP
201,K104,PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL / COVID VENTILATION / COVID LOW VOLTAGE ELECTRICAL SYSTEMS / FLOOD ELIMINATION,23966000,CIP
202,K303,RESO A ROOM CONVERSION / PATH OF TRAVEL RESO A ROOM CONVERSION,1626000,CIP
203,M475,LL 26-EXIT SIGNS,144650.92,CIP
204,K082,New,63711000,CAP
205,K356,FY22 RESO A AUDITORIUM UPGRADE,457000,CIP
206,X111,IPDVS INSTALLATIONS / IPDVS INSTALLATIONS,334000,CIP
207,Q063,FLOOD ELIMINATION / ROOFS / WINDOWS / PARAPETS / EXTERIOR MASONRY,14913000,CIP
208,Q087,EXTERIOR MASONRY / ROOFS,5986344,CIP
209,K805,LSP VACUUM PUMP SET REPLACEMENT,37969,CIP
210,K025,PATH OF TRAVEL PLAY YARD,285000,CIP
211,K228,ROOFS / PARAPETS / EXTERIOR MASONRY / FLOOD ELIMINATION / WINDOWS,23300000,CIP
212,K722,EXTERIOR MASONRY / FLOOD ELIMINATION / ROOFS,4299786,CIP
213,K480,WATER HEATER REPLACEMENT,2595000,CIP
214,K284,SWIMMING POOL / FY20 RESO A  PATH OF TRAVEL PLAYGROUND UPGRADE / FY20 RESO A PLAYGROUND UPGRADE / ROOFS / PARAPETS / EXTERIOR MASONRY / WINDOWS / EXTERIOR DOORS / FLOOD ELIMINATION / PATH OF TRAVEL SWIMMING POOL,27211000,CIP
215,M646,EXTERIOR MASONRY- PERMANENT FIX / PARAPETS,3839000,CIP
216,K382,Demo,18165971,CAP
217,X455,FULL PROGRAM ACCESSIBILITY,11748000,CIP
218,K308,LOW-VOLTAGE ELECTRICAL SYSTEMS,3781000,CIP
219,K012,WALK-IN REFRIGERATORS AND FREEZERS,671993,CIP
220,M130,FY22 RESO A PLAYGROUND UPGRADE,478164,CIP
221,K106,EXTERIOR MASONRY / FLOOD ELIMINATION / ROOFS,12370000,CIP
222,Q071,FY19 RESO A PA SYSTEM UPGRADE / COVID VENTILATION / COVID FIRE ALARM REPLACEMENT,7965000,CIP
223,M490,AUDITORIUM FIRE SAFETY SYSTEM UPGRADE,1495000,CIP
224,Q440,SLATE ROOF TILES / FY23 RESO A AUDITORIUM UPGRADE,15700000,CIP
225,K380,FULL PROGRAM ACCESSIBILITY,11356000,CIP
226,Q088,LOW VOLTAGE ELECTRICAL SYSTEM,876800,CIP
227,Q263,EXTERIOR MASONRY / PARAPETS / ROOFS / RTU REPLACEMENT,10796000,CIP
228,Q109,EXTERIOR MASONRY / FLOOD ELIMINATION / ROOFS / WINDOWS,12400000,CIP
229,X024,EXTERIOR MASONRY / REINFORCING SUPPORT ELEMENTS,4339786,CIP
230,X650,IPDVS CAMERA INSTALLATION,230000,CIP
231,K044,FULL PROGRAM ACCESSIBILITY / PA SYSTEM REPLACEMENT,13664000,CIP
232,K218,EXTERIOR MASONRY,578000,CIP
233,R072,CERTIFICATE OF OCCUPANCY / CHILLER REPLACEMENT,9236000,CIP
234,X060,IPDVS INSTALLATIONS / IPDVS INSTALLATIONS,411000,CIP
235,M130,IPDVS INSTALLATIONS / IPDVS INSTALLATIONS,280000,CIP
236,K253,ELECTRICAL WORK FOR A/C INITIATIVE / LL26 CODE COMPLIANCE/EXIT SIGN REPLACEMENT,9020,CIP
237,M104,FY 21 RESO A (MA) FITNESS ROOM / PATH OF TRAVEL RESO A FITNESS ROOM,1199511,CIP
238,Q093,ACCESSIBILITY / WINDOWS / ROOFS / EXTERIOR MASONRY / PARAPETS,19726000,CIP
239,K084,FULL PROGRAM ACCESSIBILITY,9924000,CIP
240,Q633,FY24 RESO A WEIGHT ROOM,664442,CIP
241,X035,IPDVS INSTALLATIONS / IPDVS INSTALLATIONS,346000,CIP
242,M040,FY20 RESO A ACCESSIBILITY,518000,CIP
243,X405,VENTILATION @ X405,16480000,CIP
244,X167,IPDVS CAMERA INSTALLATION / IPDVS CAMERA INSTALLATION / IPDVS CAMERA INSTALLATION,763000,CIP
245,R034,HEATING PLANT UPGRADE (BOILER REPLACEMENT) / CLIMATE CONTROL,10446141,CIP
246,X072,EXTERIOR MASONRY / WINDOWS / PARAPETS,8875025,CIP
247,R470,FY23 RESO A ELECTRICAL UPGRADE,85820,CIP
248,K540,FY19 RESO A AUDITORIUM UPGRADE,8888000,CIP
249,K327,FIRE ALARM REPLACEMENT / ROOFS / PARAPETS / EXTERIOR MASONRY,9865000,CIP
250,X122,ELECTRICAL WORK FOR A/C INITIATIVE / LL26 CODE COMPLIANCE/EXIT SIGN REPLACEMENT,24407.53,CIP
251,M057,FULL PROGRAM ACCESSIBILITY,12461000,CIP
252,Q437,Lease,0,CAP
253,Q519,Lease,0,CAP
254,Q156,FY23 RESO A COMPUTER LAB UPGRADE / PATH OF TRAVEL RESO A COMPUTER LAB UPGRADE,464995,CIP
255,K167,COVID VENTILATION,5060000,CIP
256,X070,IPDVS INSTALLATIONS,331321.7,CIP
257,Q124,HVAC CHILLER SYSTEM / FIRE ALARM SYSTEM REPLACEMENT / VENTILATION,7440000,CIP
258,M143,WATER MAIN / BACKFLOW PREVENTION / LOW VOLTAGE ELECTRICAL SYSTEM / PUBLIC ADDRESS SYSTEM,2380000,CIP
259,K495,GYM BLEACHER REPLACEMENT / PATH OF TRAVEL GYM BLEACHER REPLACEMENT,645000,CIP
260,K021,PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL,6880000,CIP
261,M465,WINDOWS / ROOFS / PARAPETS / EXTERIOR MASONRY,37627000,CIP
262,K202,ROOFS / PARAPETS / EXTERIOR MASONRY / FLOOD ELIMINATION / WINDOWS,25725725,CIP
263,M190,RESO A ROOFTOP PLAYGROUND,8582499,CIP
264,Q465,PAVED AREAS CONCRETE- SIDEWALKS & COURTYARD,2555000,CIP
265,Q203,FY24 RESO A IPDVS CAMERA INSTALLATION / IPDVS INSTALLATIONS,297555,CIP
266,M475,RPZ BACKFLOW PREVENTION DEVICES / LOW-VOLTAGE ELECTRICAL SYSTEM,3126000,CIP
267,K399,RTU REPLACEMENT / ROOFS / PARAPETS / WINDOWS / EXTERIOR MASONRY / STANDALONE DDC CONTROLS,8174000,CIP
268,X015,IPDVS INSTALLATIONS / IPDVS INSTALLATIONS,495995,CIP
269,Q116,Demo,4645600,CAP
270,K139,FY23 RESO A AUDITORIUM UPGRADE / PATH OF TRAVEL RESO A AUDITORIUM UPGRADE,648000,CIP
271,K171,LL 26-EXIT SIGNS,31870,CIP
272,X065,COVID VENTILATION,4420000,CIP
273,R006,BMS REPLACEMENT / MECHANICAL UNIT REPLACEMENT,13475000,CIP
274,Q510,New,59767000,CAP
275,K058,FY20 RESO A  PATH OF TRAVEL PLAYGROUND UPGRADE / FY20 RESO A PLAYGROUND UPGRADE,842111,CIP
276,X430,FIRE SPRINKLER SYSTEM,959485.25,CIP
277,Q017,ROOFS / EXTERIOR MASONRY / PARAPETS / WINDOWS,11821000,CIP
278,K275,FY23 RESO A AUDITORIUM UPGRADE,894951,CIP
279,X110,FULL PROGRAM ACCESSIBILITY / FIRE ALARM / PARAPETS / EXTERIOR MASONRY,14690000,CIP
280,Q129,EXTERIOR MASONRY / ROOFS / PARAPETS,9358000,CIP
281,Q040,ROOF REPLACEMENT / WINDOWS,13678000,CIP
282,K313,ELECTRIFICATION/HEAT PUMP SYSTEMS / ELECTRICAL SERVICE UPGRADE / ROOFS / FIRE ALARM,25464000,CIP
283,K209,TCU REMOVAL/PLAYGROUND REDEVELOPMENT,2794000,CIP
284,M090,COVID VENTILATION / LOW VOLTAGE ELECTRICAL SYSTEM / COVID CLIMATE CONTROL / EXTERIOR MASONRY / WINDOWS / PARAPETS / ROOFS / SITE WORK / REINFORCING SUPPORT ELEMENTS,33211000,CIP
285,K017,CERTIFICATE OF OCCUPANCY / FIRE ALARM SYSTEM REPLACEMENT,17518000,CIP
286,Q198,ROOFS / EXTERIOR MASONRY / PARAPETS,8331000,CIP
