project_id,building_id,project_description,construction_award,project_type
845,X043,FULL PROGRAM ACCESSIBILITY / ROOFS,17088000,CIP
846,K139,EXTERIOR MASONRY,399314,CIP
847,M046,FULL PROGRAM ACCESSIBILITY,11997400,CIP
848,Q062,ROOFS / PARAPETS / EXTERIOR MASONRY / WINDOWS,10546400,CIP
849,K370,EXTERIOR MASONRY,1970249,CIP
850,M083,PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL,5984000,CIP
851,K035,FY18 RESO A AUDITORIUM UPGRADE,28000,CIP
852,X052,FY20 RESO A IPDVS CAMERA INSTALLATION / FY20 RESO A IPDVS CAMERA INSTALLATION / FY20 RESO A IPDVS CAMERA INSTALLATION,700500,CIP
853,K207,FY24 RESO A SCIENCE LAB UPGRADE / PATH OF TRAVEL RESO A SCIENCE LAB UPGRADE,805800.04,CIP
854,M486,LSP - FY22 RESO A ELECTRICAL UPGRADE,122000,CIP
855,X178,FULL PROGRAM ACCESSIBILITY / FIRE ALARM SYSTEM REPLACEMENT,6831000,CIP
856,Q025,PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL,7975000,CIP
857,R435,REPLACE SINGLE STAGE STEAM ABSORBER / HOT WATER HEATER REPLACEMENT / AIR CONDITIONING / COVID VENTILATION / COVID BMS REPLACEMENT,16775000,CIP
858,Q298,FY22 RESO A PLAYGROUND UPGRADE,242000,CIP
859,M173,FLOOD ELIMINATION / PARAPETS / EXTERIOR MASONRY / PAVED AREAS- CONCRETE / ROOFS,9926550,CIP
860,X074,IPDVS CAMERA INSTALLATION,197200,CIP
861,Q212,IPDVS INSTALLATIONS,150810.41,CIP
862,Q090,AUDITORIUM UPGRADE,929000,CIP
863,Q469,TCU REMOVAL/PLAYGROUND REDEVELOPMENT,224100,CIP
864,Q798,LSP- DOMESTIC HOT WATER HEATER REPLACEMENT,213968.76,CIP
865,K061,ROOFS / PARAPETS / WINDOWS / EXTERIOR MASONRY / DOORS / SIDEWALK ELEVATOR / HVAC UPGRADE FOR CLASSROOMS AND PA SPACES / ELECTRICAL UPGRADE / HOT WATER HEATERS / FIRE ALARM SYSTEM REPLACEMENT,73929000,CIP
866,X028,DETERIORATED METAL ARCH CEILING & BEAMS / FULL PROGRAM ACCESSIBILITY / ELECTRICAL SERVICE UPGRADE / EXTERIOR MASONRY / WINDOWS,37799000,CIP
867,K425,EXTERIOR MASONRY / PARAPETS / ROOFS / WINDOWS,39350000,CIP
868,X152,IPDVS INSTALLATIONS / IPDVS INSTALLATIONS / IPDVS INSTALLATIONS,599500,CIP
869,X655,STH SBHC,2918000,CIP
870,M276,IDA INTERIOR SPACES / IDA FLOOD ELIMINATION,711500,CIP
871,M154,FIRE ALARM SYSTEM REPLACEMENT,660000,CIP
872,Q197,PATH OF TRAVEL RESO A PLAYGROUND UPGRADE / FY21 RESO A PLAYGROUND UPGRADE / RETAINING WALL,533210,CIP
873,X098,EXTERIOR MASONRY / FLOOD ELIMINATION / PARAPETS / ROOFS,8384000,CIP
874,R004,PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL,6877000,CIP
875,R026,ELECTRICAL WORK FOR A/C INITIATIVE,3146.56,CIP
876,Q009,FULL PROGRAM ACCESSIBILITY / CAFETERIA UPGRADE / VENTILATION,18766000,CIP
877,M022,FULL PROGRAM ACCESSIBILITY / LOW VOLTAGE ELECTRICAL SYSTEMS,19555000,CIP
878,Q136,FY24 RESO A LIBRARY UPGRADE,624233,CIP
879,M475,AUDITORIUM UPGRADE / ROOFS / PATH OF TRAVEL AUDITORIUM UPGRADE / PARAPETS / EXTERIOR MASONRY / WINDOWS,27711000,CIP
880,X119,STRUCTURAL ISSUES/BUILDING FACADES- PERM FIX / ROOFS / WINDOWS / PARAPETS,12467600,CIP
881,Q155,FLOOD ELIMINATION / ROOFS / PARAPETS / WINDOWS / EXTERIOR MASONRY,9498000,CIP
882,Q087,FY19 RESO A CAFETERIA / MULTIPURPOSE ROOM UPGRADE,1300000,CIP
883,Q223,LSP- DOMESTIC HOT WATER HEATER,237744.76,CIP
884,Q005,PUBLIC ADDRESS SYSTEM / HVAC,4710000,CIP
885,X400,TCU REMOVAL/PLAYGROUND REDEVELOPMENT / PATH OF TRAVEL TCU REMOVAL/PLAYGROUND REDEVELOPMENT,3463919,CIP
886,Q822,FULL PROGRAM ACCESSIBILITY / FIRE ALARM REPLACEMENT / FULL PROGRAM ACCESSIBILITY,13821000,CIP
887,X070,STH SBHC,3250000,CIP
888,K131,PLAYGROUND UPGRADE / STORM & SEWER PIPING REPLACEMENT / PATH OF TRAVEL PLAYGROUND UPGRADE,3041343.07,CIP
889,R126,Demo,9498000,CAP
890,M634,Lease,35826423,CAP
891,K169,ROOF REPLACEMENT / EXTERIOR MASONRY / PARAPETS / WINDOWS,14790025,CIP
892,K216,COVID VENTILATION / COVID CLIMATE CONTROL / COVID FIRE ALARM SYSTEM,5494000,CIP
893,X112,FY23 RESO A PLAYGROUND UPGRADE,259000,CIP
894,K020,FULL PROGRAM ACCESSIBILITY / ROOFS / PARAPETS / EXTERIOR MASONRY / PLAYGROUND RENOVATION / FIRE ALARM SYSTEM / FY24 RESO A GREEN ROOF,23600000,CIP
895,K015,GAS LEAK,16754.48,CIP
896,K190,IPDVS INSTALLATION / FY24 RESO A IPDVS CAMERA INSTALLATION / FY24 RESO A IPDVS CAMERA INSTALLATION,510000,CIP
897,K405,PARAPETS / FLOOD ELIMINATION / EXTERIOR MASONRY / WINDOWS,19570000,CIP
898,Q465,FY23 RESO A ELECTRICAL UPGRADE,317925,CIP
899,M501,ELECTRIFICATION/HEAT PUMP SYSTEMS / WINDOWS / ELECTRICAL UPGRADE / LOW VOLTAGE ELECTRICAL SYSTEMS,40919919,CIP
900,X137,PATH OF TRAVEL RESO A PLAYGROUND UPGRADE / FY23 RESO A PLAYGROUND UPGRADE,4373000,CIP
901,Q056,TCU REMOVAL/PLAYGROUND REDEVELOPMENT,1225000,CIP
902,M110,FACADE REMEDIATION @M110 / PARAPETS / ROOFS / FLOOD ELIMINATION,12326200,CIP
903,Q166,ROOFS / PARAPETS / EXTERIOR MASONRY,10740000,CIP
904,K057,BUILDING DRAIN BACKUP,835519,CIP
905,K099,FULL PROGRAM ACCESSIBILITY / LOW VOLTAGE ELECTRICAL SYSTEM,12771000,CIP
906,K314,LSP FY16 RESO A EXTERIOR PLAYGROUND LIGHTING,198825,CIP
907,K264,FY23 RESO A AUDITORIUM UPGRADE,264350,CIP
908,KBDD,ACS EARLY LEARN LEASE IMPROVEMENT,677000,CIP
909,Q042,EXTERIOR MASONRY / WINDOWS / PARAPETS,15970000,CIP
910,X047,IPDVS INSTALLATIONS / IPDVS INSTALLATIONS,322000,CIP
911,M041,ROOFS / PARAPETS / EXTERIOR MASONRY / WINDOWS,17056000,CIP
912,K115,IPDVS INSTALLATIONS / IPDVS INSTALLATIONS,380000,CIP
913,Q019,PARAPETS / ROOFS / WINDOWS,9425000,CIP
914,M075,ROOFS / STAIRWELL WINDOWS / PARAPETS / FLOOD ELIMINATION / EXTERIOR MASONRY,12628000,CIP
915,K040,IPDVS INSTALLATIONS / IPDVS INSTALLATIONS,398000,CIP
916,XAYF,LSP - ACS EARLY LEARN LEASE RENEWAL,42700,CIP
917,X460,ROOFS / PARAPETS / EXTERIOR MASONRY / FLOOD ELIMINATION,6260000,CIP
918,K743,EXTERIOR MASONRY / LOW VOLTAGE ELECTRICAL SYSTEMS / VENTILATION / ROOFS / WINDOWS / PARAPETS / FLOOD ELIMINATION,9880000,CIP
919,Q260,ROOFS / EXTERIOR MASONRY,2399000,CIP
920,Q104,DOWNTOWN FAR ROCKAWAY REZONING PARK UPGRADES,697500,CIP
921,K244,FY23 RESO A GYMNASIUM UPGRADE,695000,CIP
922,R460,PATH OF TRAVEL LSP ROOM CONVERSION,80800,CIP
923,Q124,FY25 RESO A AUDITORIUM UPGRADE / PATH OF TRAVEL RESO A AUDITORIUM UPGRADE,594000,CIP
924,Q216,PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL,6000761,CIP
925,R057,FULL PROGRAM ACCESSIBILITY / LOW-VOLTAGE ELECTRICAL SYSTEMS,14210000,CIP
926,Q435,FULL PROGRAM ACCESSIBILITY / LOW VOLTAGE ELECTRICAL SYSTEMS,12350000,CIP
927,Q045,FLOOD ELIMINATION / ROOFS / PARAPETS / EXTERIOR MASONRY,12166000,CIP
928,K260,IPDVS INSTALLATIONS / IPDVS INSTALLATIONS,334750,CIP
929,Q150,FLOOD ELIMINATION / ROOFS / PARAPETS / EXTERIOR MASONRY,8888000,CIP
930,Q052,FY25 RESO A LIBRARY UPGRADE / PATH OF TRAVEL RESO A LIBRARY UPGRADE,349000,CIP
931,M841,ROOFS,5635838,CIP
932,M098,OTHER TEMP STRUCTURE REMOVAL/PLAYGROUND REDEVELOPMENT: / PATH OF TRAVEL-OTHER TEMP STRUCTURE REMOVAL,2547000,CIP
933,Q520,WATER INFILTRATION,944945,CIP
934,K281,EXTERIOR MASONRY / WINDOWS / ROOFS,14817000,CIP
935,X148,FY23 RESO A PLAYGROUND UPGRADE / ROOFS,8855000,CIP
936,K078,PLANYC CLIMATE CONTROL / PLANYC BOILER CONVERSION / FIRE ALARM SYSTEM REPLACEMENT,12142000,CIP
